ParametersID,ParameterName,ParameterNumberValue,ParameterUnit,ParameterNonNumberValue,assay_AssayID,assay_publication_DOI
1267598,Model,NULL,,Water Quality Analysis Simulation Program,103,10.1021/acs.est.7b01477
1267599,Phase,NULL,,particulate organic matter,103,10.1021/acs.est.7b01477
1267600,River segment,NULL,,Downstream,103,10.1021/acs.est.7b01477
1267601,Model,NULL,,Water Quality Analysis Simulation Program,104,10.1021/acs.est.7b01477
1267602,Phase,NULL,,Silt,104,10.1021/acs.est.7b01477
1267603,River segment,NULL,,Downstream,104,10.1021/acs.est.7b01477
1267604,Model,NULL,,Water Quality Analysis Simulation Program,105,10.1021/acs.est.7b01477
1267605,Phase,NULL,,Clay,105,10.1021/acs.est.7b01477
1267606,River segment,NULL,,Downstream,105,10.1021/acs.est.7b01477
1267607,Model,NULL,,Water Quality Analysis Simulation Program,106,10.1021/acs.est.7b01477
1267608,Phase,NULL,,particulate organic matter,106,10.1021/acs.est.7b01477
1267609,River segment,NULL,,Downstream,106,10.1021/acs.est.7b01477
1267610,Concentration sodium ions,0.31,millimolar,,107,10.1021/acs.est.7b01477
1267611,concentration calcium ions,0.19,millimolar,,107,10.1021/acs.est.7b01477
1267612,Concentration sodium ions,1,millimolar,,108,10.1021/acs.est.7b01477
1267613,concentration calcium ions,0.19,millimolar,,108,10.1021/acs.est.7b01477
1267614,Concentration sodium ions,10,millimolar,,109,10.1021/acs.est.7b01477
1267615,concentration calcium ions,0.19,millimolar,,109,10.1021/acs.est.7b01477
1267616,concentration calcium ions,0.4,millimolar,,110,10.1021/acs.est.7b01477
1267617,Concentration sodium ions,0.31,millimolar,,110,10.1021/acs.est.7b01477
1267618,concentration calcium ions,0.6,millimolar,,111,10.1021/acs.est.7b01477
1267619,Concentration sodium ions,0.31,millimolar,,111,10.1021/acs.est.7b01477
1267620,concentration calcium ions,1,millimolar,,112,10.1021/acs.est.7b01477
1267621,Concentration sodium ions,0.31,millimolar,,112,10.1021/acs.est.7b01477
1267622,Concentration sodium ions,0.31,millimolar,,114,10.1021/acs.est.7b01477
1267623,concentration calcium ions,0.19,millimolar,,114,10.1021/acs.est.7b01477
1267624,Concentration sodium ions,1,millimolar,,115,10.1021/acs.est.7b01477
1267625,concentration calcium ions,0.19,millimolar,,115,10.1021/acs.est.7b01477
1267626,Concentration sodium ions,5,millimolar,,116,10.1021/acs.est.7b01477
1267627,concentration calcium ions,0.19,millimolar,,116,10.1021/acs.est.7b01477
1267628,Concentration sodium ions,10,millimolar,,117,10.1021/acs.est.7b01477
1267629,concentration calcium ions,0.19,millimolar,,117,10.1021/acs.est.7b01477
1267630,Concentration sodium ions,0.31,millimolar,,118,10.1021/acs.est.7b01477
1267631,concentration calcium ions,0.4,millimolar,,118,10.1021/acs.est.7b01477
1267632,Concentration sodium ions,0.31,millimolar,,119,10.1021/acs.est.7b01477
1267633,concentration calcium ions,0.6,millimolar,,119,10.1021/acs.est.7b01477
1267634,Concentration sodium ions,0.31,millimolar,,120,10.1021/acs.est.7b01477
1267635,concentration calcium ions,1,millimolar,,120,10.1021/acs.est.7b01477
1267636,Concentration sodium ions,0.31,millimolar,,121,10.1021/acs.est.7b01477
1267637,concentration calcium ions,0.19,millimolar,,121,10.1021/acs.est.7b01477
1267638,Concentration sodium ions,1,millimolar,,122,10.1021/acs.est.7b01477
1267639,concentration calcium ions,0.19,millimolar,,122,10.1021/acs.est.7b01477
1267640,Concentration sodium ions,5,millimolar,,123,10.1021/acs.est.7b01477
1267641,concentration calcium ions,0.19,millimolar,,123,10.1021/acs.est.7b01477
1267642,Concentration sodium ions,10,millimolar,,124,10.1021/acs.est.7b01477
1267643,concentration calcium ions,0.19,millimolar,,124,10.1021/acs.est.7b01477
1267644,Concentration sodium ions,0.31,millimolar,,125,10.1021/acs.est.7b01477
1267645,concentration calcium ions,0.4,millimolar,,125,10.1021/acs.est.7b01477
1267646,Concentration sodium ions,0.31,millimolar,,126,10.1021/acs.est.7b01477
1267647,concentration calcium ions,0.6,millimolar,,126,10.1021/acs.est.7b01477
1267648,Concentration sodium ions,0.31,millimolar,,127,10.1021/acs.est.7b01477
1267649,concentration calcium ions,1,millimolar,,127,10.1021/acs.est.7b01477
1274244,Concentration sodium chloride,1,millimolar,,1,10.1021/acs.est.5b01041
1274245,Concentration sodium chloride,5,millimolar,,2,10.1021/acs.est.5b01041
1274246,Concentration sodium chloride,10,millimolar,,3,10.1021/acs.est.5b01041
1274247,Concentration sodium chloride,50,millimolar,,4,10.1021/acs.est.5b01041
1274248,Concentration sodium chloride,100,millimolar,,5,10.1021/acs.est.5b01041
1274249,Concentration sodium chloride,1,millimolar,,6,10.1021/acs.est.5b01041
1274250,Concentration sodium chloride,5,millimolar,,7,10.1021/acs.est.5b01041
1274251,Concentration sodium chloride,10,millimolar,,8,10.1021/acs.est.5b01041
1274252,Concentration sodium chloride,50,millimolar,,9,10.1021/acs.est.5b01041
1274253,Concentration sodium chloride,100,millimolar,,10,10.1021/acs.est.5b01041
1274254,Concentration sodium chloride,1,millimolar,,11,10.1021/acs.est.5b01041
1274255,Concentration sodium chloride,5,millimolar,,12,10.1021/acs.est.5b01041
1274256,Concentration sodium chloride,10,millimolar,,13,10.1021/acs.est.5b01041
1274257,Concentration sodium chloride,50,millimolar,,14,10.1021/acs.est.5b01041
1274258,Concentration sodium chloride,100,millimolar,,15,10.1021/acs.est.5b01041
1274259,Concentration sodium chloride,1,millimolar,,16,10.1021/acs.est.5b01041
1274260,Concentration sodium chloride,5,millimolar,,17,10.1021/acs.est.5b01041
1274261,Concentration sodium chloride,10,millimolar,,18,10.1021/acs.est.5b01041
1274262,Concentration sodium chloride,50,millimolar,,19,10.1021/acs.est.5b01041
1274263,Concentration sodium chloride,100,millimolar,,20,10.1021/acs.est.5b01041
1274264,Concentration sodium chloride,1.00558,millimolar,,21,10.1021/acs.est.5b01041
1274265,Concentration sodium chloride,1.80404,millimolar,,22,10.1021/acs.est.5b01041
1274266,Concentration sodium chloride,2.8004,millimolar,,23,10.1021/acs.est.5b01041
1274267,Concentration sodium chloride,3.86749,millimolar,,24,10.1021/acs.est.5b01041
1274268,Concentration sodium chloride,5.13709,millimolar,,25,10.1021/acs.est.5b01041
1274269,Concentration sodium chloride,6.38258,millimolar,,26,10.1021/acs.est.5b01041
1274270,Concentration sodium chloride,7.93003,millimolar,,27,10.1021/acs.est.5b01041
1274271,Concentration sodium chloride,11.0129,millimolar,,28,10.1021/acs.est.5b01041
1274272,Concentration sodium chloride,14.3859,millimolar,,29,10.1021/acs.est.5b01041
1274273,Concentration sodium chloride,22.084,millimolar,,30,10.1021/acs.est.5b01041
1274274,Concentration sodium chloride,31.0127,millimolar,,31,10.1021/acs.est.5b01041
1274275,Concentration sodium chloride,36.2432,millimolar,,32,10.1021/acs.est.5b01041
1274276,Concentration sodium chloride,2.78485,millimolar,,33,10.1021/acs.est.5b01041
1274277,Concentration sodium chloride,7.93003,millimolar,,34,10.1021/acs.est.5b01041
1274278,Concentration sodium chloride,14.547,millimolar,,35,10.1021/acs.est.5b01041
1274279,Concentration sodium chloride,22.4559,millimolar,,36,10.1021/acs.est.5b01041
1274280,Concentration sodium chloride,31.1858,millimolar,,37,10.1021/acs.est.5b01041
1274281,Concentration sodium chloride,57.5269,millimolar,,38,10.1021/acs.est.5b01041
1274282,Concentration sodium chloride,86.8478,millimolar,,39,10.1021/acs.est.5b01041
1274283,Concentration sodium chloride,161.098,millimolar,,40,10.1021/acs.est.5b01041
1274284,Concentration sodium chloride,59.141,millimolar,,41,10.1021/acs.est.5b01041
1274285,Concentration sodium chloride,79.2091,millimolar,,42,10.1021/acs.est.5b01041
1274286,Concentration sodium chloride,98.9256,millimolar,,43,10.1021/acs.est.5b01041
1274287,Concentration sodium chloride,108.506,millimolar,,44,10.1021/acs.est.5b01041
1274288,Concentration sodium chloride,123.913,millimolar,,45,10.1021/acs.est.5b01041
1274289,Concentration sodium chloride,147.459,millimolar,,46,10.1021/acs.est.5b01041
1274290,Concentration sodium chloride,172.257,millimolar,,47,10.1021/acs.est.5b01041
1274291,Concentration sodium chloride,195.428,millimolar,,48,10.1021/acs.est.5b01041
1274292,Concentration sodium chloride,221.722,millimolar,,49,10.1021/acs.est.5b01041
1274293,Concentration sodium chloride,247.847,millimolar,,50,10.1021/acs.est.5b01041
1274294,Concentration sodium chloride,49.4885,millimolar,,51,10.1021/acs.est.5b01041
1274295,Concentration sodium chloride,79.2482,millimolar,,52,10.1021/acs.est.5b01041
1274296,Concentration sodium chloride,98.8426,millimolar,,53,10.1021/acs.est.5b01041
1274297,Concentration sodium chloride,108.002,millimolar,,54,10.1021/acs.est.5b01041
1274298,Concentration sodium chloride,122.504,millimolar,,55,10.1021/acs.est.5b01041
1274299,Concentration sodium chloride,147.462,millimolar,,56,10.1021/acs.est.5b01041
1274300,Concentration sodium chloride,197.661,millimolar,,57,10.1021/acs.est.5b01041
1274301,Concentration sodium chloride,247.899,millimolar,,58,10.1021/acs.est.5b01041
1274302,Concentration sodium chloride,297.326,millimolar,,59,10.1021/acs.est.5b01041
1274303,Concentration sodium chloride,492.716,millimolar,,60,10.1021/acs.est.5b01041
1274304,Concentration sodium chloride,641.368,millimolar,,61,10.1021/acs.est.5b01041
1274305,Concentration sodium chloride,786.7,millimolar,,62,10.1021/acs.est.5b01041
1274306,particle concentration,8,milligrams/liter,,63,10.1021/acs.est.5b01041
1274307,pH,7,pH,,63,10.1021/acs.est.5b01041
1274308,"Concentration trans,trans-hexadienoate",100,micromolar,,63,10.1021/acs.est.5b01041
1274309,Light,NULL,,366 nm,63,10.1021/acs.est.5b01041
1274310,Time of Measurement,0,hours,,63,10.1021/acs.est.5b01041
1274311,particle concentration,8,milligrams/liter,,64,10.1021/acs.est.5b01041
1274312,pH,7,pH,,64,10.1021/acs.est.5b01041
1274313,"Concentration trans,trans-hexadienoate",100,micromolar,,64,10.1021/acs.est.5b01041
1274314,Light,NULL,,366 nm,64,10.1021/acs.est.5b01041
1274315,Time of Measurement,7,hours,,64,10.1021/acs.est.5b01041
1274316,particle concentration,8,milligrams/liter,,65,10.1021/acs.est.5b01041
1274317,pH,7,pH,,65,10.1021/acs.est.5b01041
1274318,"Concentration trans,trans-hexadienoate",100,micromolar,,65,10.1021/acs.est.5b01041
1274319,Light,NULL,,366 nm,65,10.1021/acs.est.5b01041
1274320,Time of Measurement,24,hours,,65,10.1021/acs.est.5b01041
1274321,particle concentration,8,milligrams/liter,,66,10.1021/acs.est.5b01041
1274322,pH,7,pH,,66,10.1021/acs.est.5b01041
1274323,"Concentration trans,trans-hexadienoate",100,micromolar,,66,10.1021/acs.est.5b01041
1274324,Light,NULL,,366 nm,66,10.1021/acs.est.5b01041
1274325,Time of Measurement,49,hours,,66,10.1021/acs.est.5b01041
1274326,particle concentration,8,milligrams/liter,,67,10.1021/acs.est.5b01041
1274327,pH,7,pH,,67,10.1021/acs.est.5b01041
1274328,"Concentration trans,trans-hexadienoate",100,micromolar,,67,10.1021/acs.est.5b01041
1274329,Light,NULL,,366 nm,67,10.1021/acs.est.5b01041
1274330,Time of Measurement,73,hours,,67,10.1021/acs.est.5b01041
1274331,particle concentration,8,milligrams/liter,,68,10.1021/acs.est.5b01041
1274332,pH,7,pH,,68,10.1021/acs.est.5b01041
1274333,"Concentration trans,trans-hexadienoate",100,micromolar,,68,10.1021/acs.est.5b01041
1274334,Light,NULL,,366 nm,68,10.1021/acs.est.5b01041
1274335,Time of Measurement,92,hours,,68,10.1021/acs.est.5b01041
1274336,particle concentration,8,milligrams/liter,,69,10.1021/acs.est.5b01041
1274337,pH,7,pH,,69,10.1021/acs.est.5b01041
1274338,"Concentration trans,trans-hexadienoate",100,micromolar,,69,10.1021/acs.est.5b01041
1274339,Light,NULL,,366 nm,69,10.1021/acs.est.5b01041
1274340,Time of Measurement,113,hours,,69,10.1021/acs.est.5b01041
1274341,particle concentration,8,milligrams/liter,,70,10.1021/acs.est.5b01041
1274342,pH,7,pH,,70,10.1021/acs.est.5b01041
1274343,"Concentration trans,trans-hexadienoate",100,micromolar,,70,10.1021/acs.est.5b01041
1274344,Light,NULL,,366 nm,70,10.1021/acs.est.5b01041
1274345,Time of Measurement,0,hours,,70,10.1021/acs.est.5b01041
1274346,particle concentration,8,milligrams/liter,,71,10.1021/acs.est.5b01041
1274347,pH,7,pH,,71,10.1021/acs.est.5b01041
1274348,"Concentration trans,trans-hexadienoate",100,micromolar,,71,10.1021/acs.est.5b01041
1274349,Light,NULL,,366 nm,71,10.1021/acs.est.5b01041
1274350,Time of Measurement,7,hours,,71,10.1021/acs.est.5b01041
1274351,particle concentration,8,milligrams/liter,,72,10.1021/acs.est.5b01041
1274352,pH,7,pH,,72,10.1021/acs.est.5b01041
1274353,"Concentration trans,trans-hexadienoate",100,micromolar,,72,10.1021/acs.est.5b01041
1274354,Light,NULL,,366 nm,72,10.1021/acs.est.5b01041
1274355,Time of Measurement,24,hours,,72,10.1021/acs.est.5b01041
1274356,particle concentration,8,milligrams/liter,,73,10.1021/acs.est.5b01041
1274357,pH,7,pH,,73,10.1021/acs.est.5b01041
1274358,"Concentration trans,trans-hexadienoate",100,micromolar,,73,10.1021/acs.est.5b01041
1274359,Light,NULL,,366 nm,73,10.1021/acs.est.5b01041
1274360,Time of Measurement,49,hours,,73,10.1021/acs.est.5b01041
1274361,particle concentration,8,milligrams/liter,,74,10.1021/acs.est.5b01041
1274362,pH,7,pH,,74,10.1021/acs.est.5b01041
1274363,"Concentration trans,trans-hexadienoate",100,micromolar,,74,10.1021/acs.est.5b01041
1274364,Light,NULL,,366 nm,74,10.1021/acs.est.5b01041
1274365,Time of Measurement,73,hours,,74,10.1021/acs.est.5b01041
1274366,particle concentration,8,milligrams/liter,,75,10.1021/acs.est.5b01041
1274367,pH,7,pH,,75,10.1021/acs.est.5b01041
1274368,"Concentration trans,trans-hexadienoate",100,micromolar,,75,10.1021/acs.est.5b01041
1274369,Light,NULL,,366 nm,75,10.1021/acs.est.5b01041
1274370,Time of Measurement,92,hours,,75,10.1021/acs.est.5b01041
1274371,particle concentration,8,milligrams/liter,,76,10.1021/acs.est.5b01041
1274372,pH,7,pH,,76,10.1021/acs.est.5b01041
1274373,"Concentration trans,trans-hexadienoate",100,micromolar,,76,10.1021/acs.est.5b01041
1274374,Light,NULL,,366 nm,76,10.1021/acs.est.5b01041
1274375,Time of Measurement,113,hours,,76,10.1021/acs.est.5b01041
1274376,particle concentration,8,milligrams/liter,,77,10.1021/acs.est.5b01041
1274377,pH,7,pH,,77,10.1021/acs.est.5b01041
1274378,"Concentration trans,trans-hexadienoate",100,micromolar,,77,10.1021/acs.est.5b01041
1274379,Light,NULL,,366 nm,77,10.1021/acs.est.5b01041
1274380,Time of Measurement,0,hours,,77,10.1021/acs.est.5b01041
1274381,particle concentration,8,milligrams/liter,,78,10.1021/acs.est.5b01041
1274382,pH,7,pH,,78,10.1021/acs.est.5b01041
1274383,"Concentration trans,trans-hexadienoate",100,micromolar,,78,10.1021/acs.est.5b01041
1274384,Light,NULL,,366 nm,78,10.1021/acs.est.5b01041
1274385,Time of Measurement,7,hours,,78,10.1021/acs.est.5b01041
1274386,particle concentration,8,milligrams/liter,,79,10.1021/acs.est.5b01041
1274387,pH,7,pH,,79,10.1021/acs.est.5b01041
1274388,"Concentration trans,trans-hexadienoate",100,micromolar,,79,10.1021/acs.est.5b01041
1274389,Light,NULL,,366 nm,79,10.1021/acs.est.5b01041
1274390,Time of Measurement,24,hours,,79,10.1021/acs.est.5b01041
1274391,particle concentration,8,milligrams/liter,,80,10.1021/acs.est.5b01041
1274392,pH,7,pH,,80,10.1021/acs.est.5b01041
1274393,"Concentration trans,trans-hexadienoate",100,micromolar,,80,10.1021/acs.est.5b01041
1274394,Light,NULL,,366 nm,80,10.1021/acs.est.5b01041
1274395,Time of Measurement,49,hours,,80,10.1021/acs.est.5b01041
1274396,particle concentration,8,milligrams/liter,,81,10.1021/acs.est.5b01041
1274397,pH,7,pH,,81,10.1021/acs.est.5b01041
1274398,"Concentration trans,trans-hexadienoate",100,micromolar,,81,10.1021/acs.est.5b01041
1274399,Light,NULL,,366 nm,81,10.1021/acs.est.5b01041
1274400,Time of Measurement,73,hours,,81,10.1021/acs.est.5b01041
1274401,particle concentration,8,milligrams/liter,,82,10.1021/acs.est.5b01041
1274402,pH,7,pH,,82,10.1021/acs.est.5b01041
1274403,"Concentration trans,trans-hexadienoate",100,micromolar,,82,10.1021/acs.est.5b01041
1274404,Light,NULL,,366 nm,82,10.1021/acs.est.5b01041
1274405,Time of Measurement,92,hours,,82,10.1021/acs.est.5b01041
1274406,particle concentration,8,milligrams/liter,,83,10.1021/acs.est.5b01041
1274407,pH,7,pH,,83,10.1021/acs.est.5b01041
1274408,"Concentration trans,trans-hexadienoate",100,micromolar,,83,10.1021/acs.est.5b01041
1274409,Light,NULL,,366 nm,83,10.1021/acs.est.5b01041
1274410,Time of Measurement,113,hours,,83,10.1021/acs.est.5b01041
1274411,particle concentration,8,milligrams/liter,,84,10.1021/acs.est.5b01041
1274412,pH,7,pH,,84,10.1021/acs.est.5b01041
1274413,"Concentration trans,trans-hexadienoate",100,micromolar,,84,10.1021/acs.est.5b01041
1274414,Light,NULL,,366 nm,84,10.1021/acs.est.5b01041
1274415,Time of Measurement,0,hours,,84,10.1021/acs.est.5b01041
1274416,Concentration Suwannee River natural organic matter,75,milligrams/liter,,85,10.1021/acs.est.5b01041
1274417,pH,7,pH,,85,10.1021/acs.est.5b01041
1274418,"Concentration trans,trans-hexadienoate",100,micromolar,,85,10.1021/acs.est.5b01041
1274419,Light,NULL,,366 nm,85,10.1021/acs.est.5b01041
1274420,Time of Measurement,7,hours,,85,10.1021/acs.est.5b01041
1274421,Concentration Suwannee River natural organic matter,75,milligrams/liter,,86,10.1021/acs.est.5b01041
1274422,pH,7,pH,,86,10.1021/acs.est.5b01041
1274423,"Concentration trans,trans-hexadienoate",100,micromolar,,86,10.1021/acs.est.5b01041
1274424,Light,NULL,,366 nm,86,10.1021/acs.est.5b01041
1274425,Time of Measurement,24,hours,,86,10.1021/acs.est.5b01041
1274426,Concentration Suwannee River natural organic matter,75,milligrams/liter,,87,10.1021/acs.est.5b01041
1274427,pH,7,pH,,87,10.1021/acs.est.5b01041
1274428,"Concentration trans,trans-hexadienoate",100,micromolar,,87,10.1021/acs.est.5b01041
1274429,Light,NULL,,366 nm,87,10.1021/acs.est.5b01041
1274430,Time of Measurement,49,hours,,87,10.1021/acs.est.5b01041
1274431,Concentration Suwannee River natural organic matter,75,milligrams/liter,,88,10.1021/acs.est.5b01041
1274432,pH,7,pH,,88,10.1021/acs.est.5b01041
1274433,"Concentration trans,trans-hexadienoate",100,micromolar,,88,10.1021/acs.est.5b01041
1274434,Light,NULL,,366 nm,88,10.1021/acs.est.5b01041
1274435,Time of Measurement,73,hours,,88,10.1021/acs.est.5b01041
1274436,Concentration Suwannee River natural organic matter,75,milligrams/liter,,89,10.1021/acs.est.5b01041
1274437,pH,7,pH,,89,10.1021/acs.est.5b01041
1274438,"Concentration trans,trans-hexadienoate",100,micromolar,,89,10.1021/acs.est.5b01041
1274439,Light,NULL,,366 nm,89,10.1021/acs.est.5b01041
1274440,Time of Measurement,92,hours,,89,10.1021/acs.est.5b01041
1274441,Concentration Suwannee River natural organic matter,75,milligrams/liter,,90,10.1021/acs.est.5b01041
1274442,pH,7,pH,,90,10.1021/acs.est.5b01041
1274443,"Concentration trans,trans-hexadienoate",100,micromolar,,90,10.1021/acs.est.5b01041
1274444,Light,NULL,,366 nm,90,10.1021/acs.est.5b01041
1274445,Time of Measurement,113,hours,,90,10.1021/acs.est.5b01041
1274446,particle concentration,8,milligrams/liter,,91,10.1021/acs.est.5b01041
1274447,pH,7,pH,,91,10.1021/acs.est.5b01041
1274448,"Concentration trans,trans-hexadienoate",100,micromolar,,91,10.1021/acs.est.5b01041
1274449,Light,NULL,,Simulated Sunlight,91,10.1021/acs.est.5b01041
1274450,Time of Measurement,0,hours,,91,10.1021/acs.est.5b01041
1274451,particle concentration,8,milligrams/liter,,92,10.1021/acs.est.5b01041
1274452,pH,7,pH,,92,10.1021/acs.est.5b01041
1274453,"Concentration trans,trans-hexadienoate",100,micromolar,,92,10.1021/acs.est.5b01041
1274454,Light,NULL,,Simulated Sunlight,92,10.1021/acs.est.5b01041
1274455,Time of Measurement,3,hours,,92,10.1021/acs.est.5b01041
1274456,particle concentration,8,milligrams/liter,,93,10.1021/acs.est.5b01041
1274457,pH,7,pH,,93,10.1021/acs.est.5b01041
1274458,"Concentration trans,trans-hexadienoate",100,micromolar,,93,10.1021/acs.est.5b01041
1274459,Light,NULL,,Simulated Sunlight,93,10.1021/acs.est.5b01041
1274460,Time of Measurement,6,hours,,93,10.1021/acs.est.5b01041
1274461,particle concentration,8,milligrams/liter,,94,10.1021/acs.est.5b01041
1274462,pH,7,pH,,94,10.1021/acs.est.5b01041
1274463,"Concentration trans,trans-hexadienoate",100,micromolar,,94,10.1021/acs.est.5b01041
1274464,Light,NULL,,Simulated Sunlight,94,10.1021/acs.est.5b01041
1274465,Time of Measurement,10,hours,,94,10.1021/acs.est.5b01041
1274466,particle concentration,8,milligrams/liter,,95,10.1021/acs.est.5b01041
1274467,pH,7,pH,,95,10.1021/acs.est.5b01041
1274468,"Concentration trans,trans-hexadienoate",100,micromolar,,95,10.1021/acs.est.5b01041
1274469,Light,NULL,,Simulated Sunlight,95,10.1021/acs.est.5b01041
1274470,Time of Measurement,15,hours,,95,10.1021/acs.est.5b01041
1274471,particle concentration,8,milligrams/liter,,96,10.1021/acs.est.5b01041
1274472,pH,7,pH,,96,10.1021/acs.est.5b01041
1274473,"Concentration trans,trans-hexadienoate",100,micromolar,,96,10.1021/acs.est.5b01041
1274474,Light,NULL,,Simulated Sunlight,96,10.1021/acs.est.5b01041
1274475,Time of Measurement,20,hours,,96,10.1021/acs.est.5b01041
1274476,particle concentration,8,milligrams/liter,,97,10.1021/acs.est.5b01041
1274477,pH,7,pH,,97,10.1021/acs.est.5b01041
1274478,"Concentration trans,trans-hexadienoate",100,micromolar,,97,10.1021/acs.est.5b01041
1274479,Light,NULL,,Simulated Sunlight,97,10.1021/acs.est.5b01041
1274480,Time of Measurement,24,hours,,97,10.1021/acs.est.5b01041
1274481,particle concentration,8,milligrams/liter,,98,10.1021/acs.est.5b01041
1274482,pH,7,pH,,98,10.1021/acs.est.5b01041
1274483,"Concentration trans,trans-hexadienoate",100,micromolar,,98,10.1021/acs.est.5b01041
1274484,Light,NULL,,Simulated Sunlight,98,10.1021/acs.est.5b01041
1274485,Time of Measurement,0,hours,,98,10.1021/acs.est.5b01041
1274486,particle concentration,8,milligrams/liter,,99,10.1021/acs.est.5b01041
1274487,pH,7,pH,,99,10.1021/acs.est.5b01041
1274488,"Concentration trans,trans-hexadienoate",100,micromolar,,99,10.1021/acs.est.5b01041
1274489,Light,NULL,,Simulated Sunlight,99,10.1021/acs.est.5b01041
1274490,Time of Measurement,3,hours,,99,10.1021/acs.est.5b01041
1274491,particle concentration,8,milligrams/liter,,100,10.1021/acs.est.5b01041
1274492,pH,7,pH,,100,10.1021/acs.est.5b01041
1274493,"Concentration trans,trans-hexadienoate",100,micromolar,,100,10.1021/acs.est.5b01041
1274494,Light,NULL,,Simulated Sunlight,100,10.1021/acs.est.5b01041
1274495,Time of Measurement,6,hours,,100,10.1021/acs.est.5b01041
1274496,particle concentration,8,milligrams/liter,,101,10.1021/acs.est.5b01041
1274497,pH,7,pH,,101,10.1021/acs.est.5b01041
1274498,"Concentration trans,trans-hexadienoate",100,micromolar,,101,10.1021/acs.est.5b01041
1274499,Light,NULL,,Simulated Sunlight,101,10.1021/acs.est.5b01041
1274500,Time of Measurement,10,hours,,101,10.1021/acs.est.5b01041
1274501,particle concentration,8,milligrams/liter,,102,10.1021/acs.est.5b01041
1274502,pH,7,pH,,102,10.1021/acs.est.5b01041
